title,trailer_url
Toy Story (1995),https://www.youtube.com/results?search_query=Toy+Story+(1995)+trailer
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),https://www.youtube.com/results?search_query=Twelve+Monkeys+(a.k.a.+12+Monkeys)+(1995)+trailer
Seven (a.k.a. Se7en) (1995),https://www.youtube.com/results?search_query=Seven+(a.k.a.+Se7en)+(1995)+trailer
"Usual Suspects, The (1995)","https://www.youtube.com/results?search_query=Usual+Suspects,+The+(1995)+trailer"
Braveheart (1995),https://www.youtube.com/results?search_query=Braveheart+(1995)+trailer
Apollo 13 (1995),https://www.youtube.com/results?search_query=Apollo+13+(1995)+trailer
Casper (1995),https://www.youtube.com/results?search_query=Casper+(1995)+trailer
Die Hard: With a Vengeance (1995),https://www.youtube.com/results?search_query=Die+Hard:+With+a+Vengeance+(1995)+trailer
Star Wars: Episode IV - A New Hope (1977),https://www.youtube.com/results?search_query=Star+Wars:+Episode+IV+-+A+New+Hope+(1977)+trailer
Pulp Fiction (1994),https://www.youtube.com/results?search_query=Pulp+Fiction+(1994)+trailer
"Shawshank Redemption, The (1994)","https://www.youtube.com/results?search_query=Shawshank+Redemption,+The+(1994)+trailer"
Forrest Gump (1994),https://www.youtube.com/results?search_query=Forrest+Gump+(1994)+trailer
"Lion King, The (1994)","https://www.youtube.com/results?search_query=Lion+King,+The+(1994)+trailer"
True Lies (1994),https://www.youtube.com/results?search_query=True+Lies+(1994)+trailer
"Fugitive, The (1993)","https://www.youtube.com/results?search_query=Fugitive,+The+(1993)+trailer"
Jurassic Park (1993),https://www.youtube.com/results?search_query=Jurassic+Park+(1993)+trailer
"Remains of the Day, The (1993)","https://www.youtube.com/results?search_query=Remains+of+the+Day,+The+(1993)+trailer"
Schindler's List (1993),https://www.youtube.com/results?search_query=Schindler's+List+(1993)+trailer
"Three Musketeers, The (1993)","https://www.youtube.com/results?search_query=Three+Musketeers,+The+(1993)+trailer"
Aladdin (1992),https://www.youtube.com/results?search_query=Aladdin+(1992)+trailer
Terminator 2: Judgment Day (1991),https://www.youtube.com/results?search_query=Terminator+2:+Judgment+Day+(1991)+trailer
Dances with Wolves (1990),https://www.youtube.com/results?search_query=Dances+with+Wolves+(1990)+trailer
Batman (1989),https://www.youtube.com/results?search_query=Batman+(1989)+trailer
